palavra	classe gramatical	fonema
sa-a-ri-a-no	NN-M	sa-a-ɾjˈə-nʊ
sa-ba	NN-F	sˈa-bə
sá-ba-do	NN-M	sˈa-ba-dʊ
sa-bão	NN-M	sa-bˈə̃w
sa-bat	NN-M	sa-bˈat
sa-ba-te-no	JJ	sa-ba-tˈe-nʊ
sa-bá-ti-co	JJ	sa-bˈa-tʃi-kʊ
sa-ba-ti-na	NN-F	sa-ba-tʃˈi-nə
sa-ba-ti-nar	VB	sa-ba-tʃi-nˈa
sa-ba-ti-no	JJ	sa-ba-tʃˈi-nʊ
sa-ba-ti-no	NN-M	sa-ba-tʃˈi-nʊ
sa-be	JJ	sˈa-bi
sa-be	ADVB	sˈa-bi
sa-be	NN-M	sˈa-bi
sa-be-dor	JJ	sa-be-dˈoɾ
sa-be-dor	NN-M	sa-be-dˈoɾ
sa-be-do-ra	NN-F	sa-be-dˈo-ɾə
sa-be-do-ra-men-te	ADVB	sa-be-do-ɾa-mˈẽj-tʃi
tá	INTJ	tˈa
ta-ba	NN-F	tˈa-bə
ta-ba-ca-ri-a	NN-F	ta-ba-ka-ɾˈi-jə
ta-ba-co	JJ	ta-bˈa-kʊ
ta-ba-co	NN-M	ta-bˈa-kʊ
ta-ba-gis-mo	NN-M	ta-ba-ʒˈiz-mʊ
ta-ba-gis-ta	NN-F	ta-ba-ʒˈis-tə
ta-ba-gis-ta	NN-M	ta-ba-ʒˈis-tə
ta-ba-gis-ta	JJ	ta-ba-ʒˈis-tə
ta-ba-gís-ti-co	JJ	ta-ba-ʒˈis-tʃi-kʊ
ta-ban-ca	NN-F	ta-bˈə̃-kə
ta-ba-quei-ra	NN-F	ta-ba-kˈej-ɾə
ta-ba-quei-ro	NN-M	ta-ba-kˈej-ɾʊ
ta-ba-quei-ro	JJ	ta-ba-kˈej-ɾʊ
ta-ba-tin-ga	NN-F	ta-ba-tʃˈĩ-gə
ta-be-fe	NN-M	ta-bˈɛ-fi
ta-be-la	NN-F	ta-bˈɛ-lə
ta-be-la-do	JJ	ta-be-lˈa-dʊ
ta-be-lar	VB	ta-be-lˈa
ta-be-lar	JJ	ta-be-lˈaɾ
u	ADVB	ˈu
ú-be-re	JJ	ˈu-be-ɾi
ú-be-re	NN-M	ˈu-be-ɾi
u-bér-ri-mo	JJ	u-bˈɛ-xi-mʊ
u-bi	NN-M	u-bˈi
u-bi-qua-men-te	ADVB	u-bi-kwa-mˈẽj-tʃi
u-bi-qui-da-de	NN-F	u-bi-kwi-dˈa-dʒi
u-bí-quo	JJ	u-bˈi-kwʊ
u-cha	NN-F	ˈu-ʃə
u-cra-ni-a-na	NN-F	u-kɾa-njˈə-nə
u-cra-ni-a-no	JJ	u-kɾa-njˈə-nʊ
u-cra-ni-a-no	NN-M	u-kɾa-njˈə-nʊ
u-cro-ni-a	NN-F	u-kɾo-nˈi-jə
u-do	JJ	ˈu-dʊ
u-du	NN-M	u-dˈu
u-é	INTJ	u-ˈɛ
u-ê	INTJ	u-ˈe
uf	INTJ	ˈuf
u-fa	INTJ	ˈu-fə
u-fa	NN-F	ˈu-fə
va-ca	NN-F	vˈa-kə
va-ca-da	NN-F	va-kˈa-də
va-can-te	JJ	va-kˈə̃-tʃi
va-car	VB	va-kˈa
va-ca-ri-a	NN-F	va-ka-ɾˈi-jə
va-ca-tu-ra	NN-F	va-ka-tˈu-ɾə
va-ci-la-ção	NN-F	va-si-la-sˈə̃w
va-ci-lan-te	JJ	va-si-lˈə̃-tʃi
va-ci-lan-te-men-te	ADVB	va-si-lə̃-te-mˈẽj-tʃi
va-ci-lar	VB	va-si-lˈa
va-ci-na	NN-F	va-sˈi-nə
va-ci-na-ção	NN-F	va-si-na-sˈə̃w
va-ci-na-do	JJ	va-si-nˈa-dʊ
va-ci-nal	JJ	va-si-nˈaw
va-ci-nar	VB	va-si-nˈa
va-cui-da-de	NN-F	va-kwi-dˈa-dʒi
va-cum	JJ	va-kˈũ
va-cum	NN-M	va-kˈũ
vá-cu-o	JJ	vˈa-kwʊ
vá-cu-o	NN-M	vˈa-kwʊ
wag-ne-ri-a-na	NN-F	va-gi-ne-ɾjˈə-nə
wag-ne-ri-a-no	JJ	va-gi-ne-ɾjˈə-nʊ
wag-ne-ri-a-no	NN-M	va-gi-ne-ɾjˈə-nʊ
wa-shing-to-ni-a-no	NN-M	wo-ʃĩ-gə-to-njˈə-nʊ
wa-shing-to-ni-a-no	JJ	wo-ʃĩ-gə-to-njˈə-nʊ
we-be-ri-a-no	JJ	wɛ-be-ɾjˈə-nʊ
wil-so-ni-a-no	JJ	wiw-so-njˈə-nʊ
wind-sur-fis-ta	NN-M	wĩnd-suɾ-fˈis-tə
wind-sur-fis-ta	NN-F	wĩnd-suɾ-fˈis-tə
xá	NN-M	ʃˈa
xa-bre-ga	NN-F	ʃa-bɾˈɛ-gə
xa-bre-gas	JJ	ʃa-bɾˈɛ-gəs
xá-ca-ra	NN-F	ʃˈa-ka-ɾə
xa-drez	NN-M	ʃa-dɾˈes
xa-dre-zis-ta	NN-M	ʃa-dɾe-zˈis-tə ou ʃa-dɾe-zˈis-tə
xai-le	NN-M	ʃˈaj-li
xa-le	NN-M	ʃˈa-li
xa-mã	NN-M	ʃa-mˈə̃
xa-ma-ne	NN-M	ʃa-mˈə-ni
xa-ma-nis-mo	NN-M	ʃa-ma-nˈiz-mʊ
xa-ma-nís-ti-co	JJ	ʃa-ma-nˈis-tʃi-kʊ
xan-gai-en-se	JJ	ʃə̃-gaj-ˈẽj-si
xan-gai-en-se	NN-M	ʃə̃-gaj-ˈẽj-si ou ʃə̃-gaj-ˈẽj-si
xan-ti-na	NN-F	ʃə̃-tʃˈi-nə
xa-ra	NN-F	ʃˈa-ɾə
xa-rém	NN-M	ʃa-ɾˈeɲ
xa-ro-pa-da	NN-F	ʃa-ɾo-pˈa-də
xa-ro-par	VB	ʃa-ɾo-pˈa
xa-ro-pe	NN-M	ʃa-ɾˈɔ-pi
yan-kee	NN-F	ou
za-bum-ba	NN-M	za-bˈũ-bə
za-bum-bar	VB	za-bũ-bˈa
za-ga	NN-F	zˈa-gə
za-gai-a	NN-F	za-gˈaj-jə
za-gai-a-da	NN-F	za-gaj-ˈa-də
za-gai-ar	VB	za-gaj-ˈa
za-gal	NN-M	za-gˈaw
za-ga-lo-te	NN-M	za-ga-lˈɔ-tʃi
za-guei-ro	NN-M	za-gˈej-ɾʊ
zai-da	NN-F	zˈaj-də
zai-na	NN-F	zˈaj-nə
zai-no	JJ	zˈaj-nʊ
zai-no	NN-M	zˈaj-nʊ
zai-ra	NN-F	zˈaj-ɾə
zai-re	NN-M	zˈaj-ɾi
zai-ren-se	NN-M	zaj-ɾˈẽj-si
zai-ren-se	JJ	zaj-ɾˈẽj-si
zai-ren-se	NN-F	zaj-ɾˈẽj-si
zai-ro-ta	NN-M	zaj-ɾˈɔ-tə ou zaj-ɾˈɔ-tə
zam-ba	NN-F	zˈə̃-bə
